iter	Passed	Remaining
0	1	184
1	3	192
2	5	186
3	7	174
4	9	174
5	10	171
6	13	175
7	14	170
8	16	170
9	19	172
10	21	171
11	23	175
12	25	173
13	28	177
14	31	176
15	33	178
16	37	180
17	40	182
18	43	183
19	45	182
20	48	182
21	51	181
22	53	178
23	55	175
24	57	172
25	59	170
26	62	168
27	64	166
28	67	165
29	70	163
30	76	169
31	78	166
32	81	165
33	84	163
34	86	161
35	88	158
36	90	154
37	92	150
38	93	146
39	95	142
40	96	138
41	96	133
42	98	130
43	99	126
44	100	122
45	102	119
46	103	116
47	105	113
48	106	110
49	107	107
50	108	104
51	109	101
52	111	98
53	112	95
54	113	92
55	114	89
56	115	87
57	117	84
58	117	81
59	118	79
60	119	76
61	121	74
62	122	71
63	123	69
64	124	66
65	125	64
66	126	62
67	127	60
68	128	57
69	129	55
70	130	53
71	132	51
72	133	49
73	134	47
74	135	45
75	136	43
76	137	41
77	138	38
78	139	36
79	140	35
80	141	33
81	142	31
82	143	29
83	144	27
84	146	25
85	147	23
86	148	22
87	149	20
88	150	18
89	151	16
90	152	15
91	153	13
92	155	11
93	156	9
94	157	8
95	158	6
96	160	4
97	161	3
98	162	1
99	163	0
